Question,Answer
"1.  What are the Sustainable Development Goals (SDGs), and how many are there?",The Sustainable Development Goals (SDGs) are a plan created by leaders from 193 countries to rid the world of poverty and hunger and to protect it from the worst effects of climate change. There are 17 goals.
"2.  When were the SDGs created, and what is the target year for achieving them?","The SDGs were created in 2015, with a target year of 2030 for achieving them."
"3.  Which organization is presented as a leading entity working to fulfill the SDGs? What are some of its functions, and how can individuals support this organization, according to the text?","According to the text, the United Nations Development Programme (UNDP) is one of the leading organizations working to fulfill the SDGs by the year 2030. It operates in nearly 170 countries and territories, helping nations make the Goals a reality and championing the Goals so that people everywhere know how to do their part.

Individuals can support UNDP by:

*   Shopping for SDG merchandise at shop.undp.org.
*   Making a donation at undp.org/takeaction.
*   Starting a fundraiser at undp.org/takeaction.
*   Spreading the word by sharing content from UNDP's social media accounts (@UNDP on Twitter, Facebook, and Instagram)."
"4.  Identify three specific problems the SDGs aim to address, as mentioned in the initial paragraphs (from the original prompt) *and* in the newly provided text.","Here are three specific problems the Sustainable Development Goals (SDGs) aim to address, as mentioned in the text:

1.  **Poverty:** The text mentions the goal to rid the world of poverty.
2.  **Hunger:** The text explicitly states the aim to eliminate hunger.
3.  **Climate Change:** The SDGs address the urgent challenge of climate change and its worst effects."
"5.  What is the specific goal related to ending extreme poverty, and what is the target date for achieving this goal? What progress has already been made towards this goal?","The specific goal is to end extreme poverty in all forms. The target date for achieving this goal is by the year 2030. In the past 15 years, the international community has cut extreme poverty in half. In 2000, the world committed to halving the number of people living in extreme poverty by the year 2015, and this goal was met."
"6.  What is the specific goal related to ending hunger, and what is the target date for achieving this goal? What progress has already been made towards this goal?","The specific goal related to ending hunger is to ""END HUNGER, ACHIEVE FOOD SECURITY AND IMPROVED NUTRITION AND PROMOTE SUSTAINABLE AGRICULTURE."" The target date for achieving this goal is 2030. In the past 20 years, hunger has dropped by almost half."
"7.  What is the specific goal related to ensuring healthy lives, and what are some statistics that highlight the importance of this goal?","The specific goal related to ensuring healthy lives is to promote well-being for all at all ages. Some statistics that highlight the importance of this goal include:

*   Preventable child deaths dropped by more than half in the 25 years before the SDGs.
*   Maternal mortality went down by almost as much in the 25 years before the SDGs.
*   6 million children die every year before their fifth birthday.
*   AIDS is the leading cause of death for adolescents in sub-Saharan Africa."
"8.  What is the specific goal related to ensuring inclusive and equitable quality education, and what are some statistics that highlight the importance of this goal?","The specific goal is to ensure inclusive and equitable quality education and promote lifelong learning opportunities for all. Statistics that highlight the importance of this goal include:

*   Children from the poorest households are four times more likely to be out of school than those of the richest households.
*   Since 2000, there has been enormous progress on the goal to provide primary education to all children worldwide: the total enrollment rate in developing regions has reached 91%."
"9.  What is the specific goal related to achieving gender equality, and what are some statistics that highlight the importance of this goal?","The specific goal related to achieving gender equality is to empower all women and girls. Some statistics that highlight the importance of this goal include:

*   Gross inequalities in work and wages persist.
*   There is a significant amount of unpaid ""women's work"" such as child care and domestic work.
*   Women face discrimination in public decision-making.
*   More girls are in school now compared to in 2000.
*   Most regions have reached gender parity in primary education.
*   The percentage of women getting paid for their work is on the rise."
"10. What is the specific goal related to ensuring availability and sustainable management of water and sanitation, and what are some statistics that highlight the importance of this goal?","The specific goal is to ensure availability and sustainable management of water and sanitation for all. Water scarcity affects more than 40 percent of people around the world, and that number is projected to go even higher as a result of climate change. If we continue the path we’re on, by 2050 at least one in four people are likely to be affected by recurring water shortages."
"11. What is the specific goal related to ensuring access to affordable, reliable, sustainable and modern energy, and what are some statistics that highlight the importance of this goal?","The specific goal is to ensure access to affordable, reliable, sustainable, and modern energy for all. Between 1990 and 2010, the number of people with access to electricity increased by 1.7 billion, highlighting the progress made. However, as the world’s population continues to rise, still more people will need cheap energy."
"12. What is the specific goal related to promoting sustained, inclusive and sustainable economic growth, and what are some statistics that highlight the importance of this goal?","The specific goal related to promoting sustained, inclusive, and sustainable economic growth is to achieve full and productive employment and decent work for all. One statistic that highlights the importance of this goal is that the middle class is growing worldwide, almost tripling in size in developing countries in the last 25 years, to more than a third of the population. However, job growth is not keeping pace with the growing labor force."
"13. What is the specific goal related to building resilient infrastructure, and what are some statistics that highlight the importance of this goal?","The specific goal related to building resilient infrastructure is to promote inclusive and sustainable industrialization and foster innovation. One statistic that highlights the importance of this goal is that four billion people have no way of getting online, the vast majority of them in developing countries."
14. What is the specific goal related to reducing inequality within and among countries?,"The specific goal related to reducing inequality within and among countries is to adopt policies that create opportunity for everyone, regardless of who they are or where they come from. It also involves improving the regulation of financial markets and institutions, sending development aid where it is most needed, and helping people migrate safely so they can pursue opportunities."
